FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1745,1169838,POINT (16.392448197850143 48.14008996196262),Hubert-Blamauer-Park,10,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Trampolin, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1746,1169839,POINT (16.375620578248075 48.178328642387356),PA Keplerplatz,10,"Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Streetball, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1747,1169840,POINT (16.443512490657074 48.25843714745371),Ingeborg-Bachmann-Park,22,"Basketball, Beachvolleyball, Fußball, Klettern, Rutschen, Rutschen. Klettern, Sandspielen, Schaukeln, Skaten, Wasserspiel, Wippen","Ballspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1748,1169841,POINT (16.357601527270344 48.230163186336995),PA Augasse,9,"Rutschen, Sandspielen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1749,1169842,POINT (16.342288873013594 48.19383324197364),Minna-Lachs-Park,6,"Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174a,1169843,POINT (16.273611652924128 48.19374043324745),PA Hochsatzengasse,14,"Basketball, Fußball, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174b,1169844,POINT (16.454823083576922 48.27011754703685),PA Kurze Zwerchäcker,21,"Drehen, Klettern, Rutschen, Schaukeln, Spielhaus, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174c,1169845,POINT (16.38753314158278 48.20598403351798),Josef-Pfeifer-Park,3,"Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174d,1169846,POINT (16.337256725712376 48.18687685509511),Linsepark,12,"Basketball, Calisthenics, Skaten, Streetball, Volleyball","Ballspielplatz, Generationenspielplatz, Skaterpark",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_174e,1169847,POINT (16.509591651760466 48.2281570806245),Elinor-Ostrom-Park,22,"Balancieren, Basketball, Fitness, Fußball, Klettern, Sandspielen, Streetball, Volleyball, Wasserspiel","Ballspielplatz, Generationenspielplatz, Spielplatz",
